
Integration time [ms]:  90,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
320,825;   -7,650;    0,000;    0,000
320,844;   97,000;    0,000;    0,000
320,863;   15,950;    0,000;    0,000
320,882;   31,050;    0,000;    0,000
320,901;  -18,850;    0,000;    0,000
320,920;   84,400;    0,000;    0,000
320,939;   -0,750;    0,000;    0,000
320,958;   -9,150;    0,000;    0,000
320,977;   64,650;    0,000;    0,000
320,996;   31,000;    0,000;    0,000
321,014;   24,350;    0,000;    0,000
321,033;  -45,550;    0,000;    0,000
321,052;   15,350;    0,000;    0,000
321,071;   15,200;    0,000;    0,000
321,090;   42,550;    0,000;    0,000
321,109;    0,250;    0,000;    0,000
321,128;   12,550;    0,000;    0,000
321,147;   26,750;    0,000;    0,000
321,166;   34,150;    0,000;    0,000
321,185;  -23,300;    0,000;    0,000
321,203;  -26,300;    0,000;    0,000
321,222;   55,100;    0,000;    0,000
321,241;   16,050;    0,000;    0,000
321,260;   25,450;    0,000;    0,000
321,279;   19,200;    0,000;    0,000
321,298;   27,450;    0,000;    0,000
321,317;   24,050;    0,000;    0,000
321,336;   21,400;    0,000;    0,000
321,354;   11,500;    0,000;    0,000
321,373;   43,050;    0,000;    0,000
321,392;   17,850;    0,000;    0,000
321,411;  -23,200;    0,000;    0,000
321,430;   31,500;    0,000;    0,000
321,449;  -10,850;    0,000;    0,000
321,468;   32,150;    0,000;    0,000
321,486;   24,000;    0,000;    0,000
321,505;  -31,200;    0,000;    0,000
321,524;   66,150;    0,000;    0,000
321,543;  -17,650;    0,000;    0,000
321,562;   17,650;    0,000;    0,000
321,581;    4,300;    0,000;    0,000
321,600;   49,400;    0,000;    0,000
321,618;  -13,750;    0,000;    0,000
321,637;   38,800;    0,000;    0,000
321,656;  -16,750;    0,000;    0,000
321,675;   28,600;    0,000;    0,000
321,694;   41,200;    0,000;    0,000
321,712;    5,850;    0,000;    0,000
321,731;   22,900;    0,000;    0,000
321,750;   47,350;    0,000;    0,000
321,769;   43,750;    0,000;    0,000
321,788;   -1,150;    0,000;    0,000
321,807;   31,450;    0,000;    0,000
321,825;   18,950;    0,000;    0,000
321,844;   16,350;    0,000;    0,000
321,863;   36,950;    0,000;    0,000
321,882;    3,450;    0,000;    0,000
321,901;   65,150;    0,000;    0,000
321,919;   50,450;    0,000;    0,000
321,938;  -15,850;    0,000;    0,000
321,957;    5,450;    0,000;    0,000
321,976;   38,200;    0,000;    0,000
321,995;   59,150;    0,000;    0,000
322,013;  -12,700;    0,000;    0,000
322,032;   14,800;    0,000;    0,000
322,051;   36,250;    0,000;    0,000
322,070;   -3,250;    0,000;    0,000
322,088;  -31,800;    0,000;    0,000
322,107;   66,900;    0,000;    0,000
322,126;   19,650;    0,000;    0,000
322,145;   -9,300;    0,000;    0,000
322,164;    3,300;    0,000;    0,000
322,182;    7,000;    0,000;    0,000
322,201;   67,100;    0,000;    0,000
322,220;   29,700;    0,000;    0,000
322,239;   10,450;    0,000;    0,000
322,257;   20,300;    0,000;    0,000
322,276;    2,250;    0,000;    0,000
322,295;   17,400;    0,000;    0,000
322,314;   44,050;    0,000;    0,000
322,332;   90,400;    0,000;    0,000
322,351;   60,850;    0,000;    0,000
322,370;   32,500;    0,000;    0,000
322,389;    3,100;    0,000;    0,000
322,407;    0,600;    0,000;    0,000
322,426;    8,200;    0,000;    0,000
322,445;  -38,600;    0,000;    0,000
322,463;  -10,650;    0,000;    0,000
322,482;   52,450;    0,000;    0,000
322,501;   61,550;    0,000;    0,000
322,520;   42,650;    0,000;    0,000
322,538;   27,650;    0,000;    0,000
322,557;   64,900;    0,000;    0,000
322,576;   80,050;    0,000;    0,000
322,594;  -18,450;    0,000;    0,000
322,613;   52,050;    0,000;    0,000
