
Integration time [ms]:  14,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
320,787;    2,450;    0,000;    0,000
320,806;    0,550;    0,000;    0,000
320,825;   13,650;    0,000;    0,000
320,844;   21,300;    0,000;    0,000
320,863;   -7,500;    0,000;    0,000
320,882;    0,550;    0,000;    0,000
320,901;    4,500;    0,000;    0,000
320,920;    9,300;    0,000;    0,000
320,939;   -6,300;    0,000;    0,000
320,958;   -5,850;    0,000;    0,000
320,977;    0,050;    0,000;    0,000
320,996;  -11,500;    0,000;    0,000
321,014;    7,850;    0,000;    0,000
321,033;   -1,550;    0,000;    0,000
321,052;    1,950;    0,000;    0,000
321,071;    4,350;    0,000;    0,000
321,090;    6,500;    0,000;    0,000
321,109;   10,500;    0,000;    0,000
321,128;   -5,200;    0,000;    0,000
321,147;    2,400;    0,000;    0,000
321,166;   -8,350;    0,000;    0,000
321,185;   -0,850;    0,000;    0,000
321,203;   -3,300;    0,000;    0,000
321,222;   -1,550;    0,000;    0,000
321,241;    8,200;    0,000;    0,000
321,260;    1,800;    0,000;    0,000
321,279;    0,700;    0,000;    0,000
321,298;   10,250;    0,000;    0,000
321,317;  -10,450;    0,000;    0,000
321,336;    9,650;    0,000;    0,000
321,354;    4,900;    0,000;    0,000
321,373;    3,000;    0,000;    0,000
321,392;   -0,700;    0,000;    0,000
321,411;  -11,150;    0,000;    0,000
321,430;  -12,350;    0,000;    0,000
321,449;   14,550;    0,000;    0,000
321,468;   16,000;    0,000;    0,000
321,486;    0,550;    0,000;    0,000
321,505;   12,000;    0,000;    0,000
321,524;    6,400;    0,000;    0,000
321,543;    6,600;    0,000;    0,000
321,562;   -1,850;    0,000;    0,000
321,581;   -3,500;    0,000;    0,000
321,600;   11,100;    0,000;    0,000
321,618;    0,950;    0,000;    0,000
321,637;   -3,250;    0,000;    0,000
321,656;   -1,200;    0,000;    0,000
321,675;   -0,450;    0,000;    0,000
321,694;    2,300;    0,000;    0,000
321,712;  -12,500;    0,000;    0,000
321,731;   -2,000;    0,000;    0,000
321,750;    6,800;    0,000;    0,000
321,769;    3,400;    0,000;    0,000
321,788;    6,100;    0,000;    0,000
321,807;   -4,400;    0,000;    0,000
321,825;  -14,900;    0,000;    0,000
321,844;    9,900;    0,000;    0,000
321,863;   25,100;    0,000;    0,000
321,882;    9,900;    0,000;    0,000
321,901;    1,350;    0,000;    0,000
321,919;   10,600;    0,000;    0,000
321,938;   -0,950;    0,000;    0,000
321,957;    8,700;    0,000;    0,000
321,976;   -1,400;    0,000;    0,000
321,995;   -1,050;    0,000;    0,000
322,013;  -10,250;    0,000;    0,000
322,032;    0,850;    0,000;    0,000
322,051;   14,200;    0,000;    0,000
322,070;   -3,750;    0,000;    0,000
322,088;   15,750;    0,000;    0,000
322,107;   12,000;    0,000;    0,000
322,126;   12,050;    0,000;    0,000
322,145;    1,000;    0,000;    0,000
322,164;    4,350;    0,000;    0,000
322,182;   -9,850;    0,000;    0,000
322,201;   12,950;    0,000;    0,000
322,220;   -6,550;    0,000;    0,000
322,239;    2,250;    0,000;    0,000
322,257;   11,650;    0,000;    0,000
322,276;    3,650;    0,000;    0,000
322,295;   10,250;    0,000;    0,000
322,314;    7,700;    0,000;    0,000
322,332;   -9,550;    0,000;    0,000
322,351;   -1,800;    0,000;    0,000
322,370;   11,500;    0,000;    0,000
322,389;   -3,850;    0,000;    0,000
322,407;    0,750;    0,000;    0,000
322,426;   -1,800;    0,000;    0,000
322,445;  -11,600;    0,000;    0,000
322,463;    2,700;    0,000;    0,000
322,482;    3,050;    0,000;    0,000
322,501;   17,850;    0,000;    0,000
322,520;   11,950;    0,000;    0,000
322,538;   -6,750;    0,000;    0,000
322,557;    8,000;    0,000;    0,000
322,576;   14,400;    0,000;    0,000
322,594;   -0,250;    0,000;    0,000
322,613;   12,100;    0,000;    0,000
322,632;  -10,050;    0,000;    0,000
322,651;   -4,350;    0,000;    0,000
322,669;   10,250;    0,000;    0,000
322,688;   16,950;    0,000;    0,000
322,707;    3,650;    0,000;    0,000
322,725;   13,700;    0,000;    0,000
322,744;    9,450;    0,000;    0,000
322,763;  -16,300;    0,000;    0,000
322,781;    1,150;    0,000;    0,000
322,800;   15,550;    0,000;    0,000
322,819;   10,200;    0,000;    0,000
322,838;    9,750;    0,000;    0,000
322,856;   -9,000;    0,000;    0,000
322,875;   10,100;    0,000;    0,000
322,894;    9,600;    0,000;    0,000
322,912;   -2,800;    0,000;    0,000
322,931;   20,800;    0,000;    0,000
322,950;    6,350;    0,000;    0,000
322,968;    9,200;    0,000;    0,000
322,987;   -3,500;    0,000;    0,000
323,006;    3,650;    0,000;    0,000
323,024;   19,950;    0,000;    0,000
323,043;    9,300;    0,000;    0,000
323,061;   17,050;    0,000;    0,000
323,080;   -0,700;    0,000;    0,000
323,099;   -7,550;    0,000;    0,000
323,117;    2,050;    0,000;    0,000
323,136;    8,600;    0,000;    0,000
323,155;    0,850;    0,000;    0,000
323,173;   10,900;    0,000;    0,000
323,192;   15,500;    0,000;    0,000
323,211;    1,350;    0,000;    0,000
323,229;   11,750;    0,000;    0,000
323,248;    0,250;    0,000;    0,000
323,266;   17,600;    0,000;    0,000
323,285;    6,950;    0,000;    0,000
323,304;   16,300;    0,000;    0,000
323,322;    3,950;    0,000;    0,000
323,341;   14,650;    0,000;    0,000
323,360;   15,500;    0,000;    0,000
323,378;   -8,850;    0,000;    0,000
323,397;   22,550;    0,000;    0,000
323,415;  -16,550;    0,000;    0,000
323,434;    8,400;    0,000;    0,000
323,453;   11,950;    0,000;    0,000
323,471;    8,650;    0,000;    0,000
323,490;   24,100;    0,000;    0,000
323,508;   12,300;    0,000;    0,000
323,527;  -11,150;    0,000;    0,000
323,546;   22,050;    0,000;    0,000
323,564;   14,650;    0,000;    0,000
323,583;   -1,200;    0,000;    0,000
323,601;   18,550;    0,000;    0,000
323,620;   14,450;    0,000;    0,000
323,638;   13,200;    0,000;    0,000
323,657;    4,900;    0,000;    0,000
323,676;   18,800;    0,000;    0,000
323,694;   19,750;    0,000;    0,000
323,713;   15,900;    0,000;    0,000
323,731;   -1,800;    0,000;    0,000
323,750;    9,150;    0,000;    0,000
323,768;   18,850;    0,000;    0,000
323,787;    4,250;    0,000;    0,000
323,805;    4,350;    0,000;    0,000
323,824;   16,300;    0,000;    0,000
323,843;    7,300;    0,000;    0,000
323,861;   20,050;    0,000;    0,000
323,880;   24,450;    0,000;    0,000
323,898;   14,150;    0,000;    0,000
323,917;   33,200;    0,000;    0,000
323,935;   28,450;    0,000;    0,000
323,954;   20,300;    0,000;    0,000
323,972;   10,200;    0,000;    0,000
323,991;   28,600;    0,000;    0,000
324,009;   14,250;    0,000;    0,000
324,028;   23,150;    0,000;    0,000
324,046;   27,650;    0,000;    0,000
324,065;   37,400;    0,000;    0,000
324,083;   17,600;    0,000;    0,000
324,102;   28,200;    0,000;    0,000
324,121;   17,150;    0,000;    0,000
324,139;   22,050;    0,000;    0,000
324,158;   26,750;    0,000;    0,000
324,176;   35,800;    0,000;    0,000
324,195;   37,400;    0,000;    0,000
324,213;   46,550;    0,000;    0,000
324,232;   23,000;    0,000;    0,000
324,250;   35,600;    0,000;    0,000
324,269;   35,050;    0,000;    0,000
324,287;   25,100;    0,000;    0,000
324,306;   24,400;    0,000;    0,000
324,324;   43,600;    0,000;    0,000
324,342;   20,150;    0,000;    0,000
324,361;   17,600;    0,000;    0,000
324,379;   28,150;    0,000;    0,000
324,398;   15,800;    0,000;    0,000
324,416;    9,000;    0,000;    0,000
324,435;   40,700;    0,000;    0,000
324,453;   35,800;    0,000;    0,000
324,472;   43,000;    0,000;    0,000
324,490;   46,500;    0,000;    0,000
324,509;   42,200;    0,000;    0,000
324,527;   53,800;    0,000;    0,000
324,546;   52,300;    0,000;    0,000
324,564;   52,900;    0,000;    0,000
324,583;   60,800;    0,000;    0,000
324,601;   42,200;    0,000;    0,000
324,619;   61,750;    0,000;    0,000
324,638;   61,750;    0,000;    0,000
324,656;   64,950;    0,000;    0,000
324,675;   86,450;    0,000;    0,000
324,693;   72,550;    0,000;    0,000
324,712;   66,850;    0,000;    0,000
324,730;   59,300;    0,000;    0,000
324,748;   62,800;    0,000;    0,000
324,767;   73,250;    0,000;    0,000
324,785;   47,200;    0,000;    0,000
324,804;   56,700;    0,000;    0,000
324,822;   72,250;    0,000;    0,000
324,841;   83,200;    0,000;    0,000
324,859;  105,850;    0,000;    0,000
324,877;  106,050;    0,000;    0,000
324,896;  106,150;    0,000;    0,000
324,914;   96,750;    0,000;    0,000
324,933;  102,250;    0,000;    0,000
324,951;  126,050;    0,000;    0,000
324,969;  104,150;    0,000;    0,000
324,988;  135,350;    0,000;    0,000
325,006;  119,950;    0,000;    0,000
325,025;  110,000;    0,000;    0,000
325,043;  100,900;    0,000;    0,000
325,061;  123,000;    0,000;    0,000
325,080;  177,050;    0,000;    0,000
325,098;  203,350;    0,000;    0,000
325,117;  274,950;    0,000;    0,000
325,135;  486,000;    0,000;    0,000
325,153;  804,000;    0,000;    0,000
325,172;  951,950;    0,000;    0,000
325,190;  695,250;    0,000;    0,000
325,208;  318,050;    0,000;    0,000
325,227;  176,750;    0,000;    0,000
325,245;  122,750;    0,000;    0,000
325,264;  104,700;    0,000;    0,000
325,282;   83,050;    0,000;    0,000
325,300;   69,800;    0,000;    0,000
325,319;   62,250;    0,000;    0,000
325,337;   61,550;    0,000;    0,000
325,355;   70,250;    0,000;    0,000
325,374;   60,450;    0,000;    0,000
325,392;   56,450;    0,000;    0,000
325,410;   67,250;    0,000;    0,000
325,429;   38,400;    0,000;    0,000
325,447;   67,700;    0,000;    0,000
325,465;   48,400;    0,000;    0,000
325,484;   47,700;    0,000;    0,000
325,502;   50,200;    0,000;    0,000
325,520;   57,600;    0,000;    0,000
325,539;   47,800;    0,000;    0,000
325,557;   59,900;    0,000;    0,000
